trade_date,symbol,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down,is_trading,is_st,listed_days,suspend_reason,next_trade_date,adj_close,return_1d,can_buy,can_sell
2024-01-02,000001.SZ,8.02,8.13,7.94,8.05,900000,7245000.0,1.0,8.8,7.2,0,0,0,尚未上市,2024-01-03,8.05,,False,False
2024-01-03,000001.SZ,8.04,8.15,7.96,8.07,902200,7280754.0,1.0,8.8,7.2,1,0,1,,2024-01-04,8.07,0.00248447204968949,False,True
2024-01-04,000001.SZ,8.12,8.25,8.04,8.17,904400,7388948.0,1.0,8.88,7.26,1,0,2,,2024-01-05,8.17,0.012391573729863659,False,True
2024-01-05,000001.SZ,8.23,8.37,8.15,8.29,906600,7515714.0,1.0,8.99,7.35,1,0,3,,2024-01-08,8.29,0.014687882496939864,False,True
2024-01-08,000001.SZ,8.36,8.51,8.28,8.43,908800,7661184.0,1.0,9.12,7.46,1,0,4,,2024-01-09,8.43,0.016887816646562248,False,True
2024-01-09,000001.SZ,8.51,8.68,8.42,8.59,911000,7825490.0,1.0,9.27,7.59,1,0,5,,2024-01-10,8.59,0.018979833926453082,False,True
2024-01-10,000001.SZ,8.68,8.86,8.59,8.77,913200,8008764.0,1.0,9.45,7.73,1,0,6,,2024-01-11,8.77,0.020954598370197974,False,True
2024-01-11,000001.SZ,8.86,9.05,8.77,8.96,915400,8201984.0,1.0,9.65,7.89,1,0,7,,2024-01-12,8.96,0.02166476624857494,False,True
2024-01-12,000001.SZ,9.06,9.25,8.97,9.16,917600,8405216.0,1.0,9.86,8.06,1,0,8,,2024-01-15,9.16,0.02232142857142838,False,True
2024-01-15,000001.SZ,9.26,9.46,9.17,9.37,919800,8618526.0,1.0,10.08,8.24,1,0,9,,2024-01-16,9.37,0.022925764192139653,False,True
2024-01-16,000001.SZ,9.48,9.68,9.39,9.58,922000,8832760.0,1.0,10.31,8.43,1,0,10,,2024-01-17,9.58,0.022411953041622246,False,True
2024-01-17,000001.SZ,9.68,9.88,9.58,9.78,924200,9038676.0,1.0,10.54,8.62,1,0,11,,2024-01-18,9.78,0.020876826722338038,False,True
2024-01-18,000001.SZ,9.88,10.07,9.78,9.97,926400,9236208.0,1.0,10.76,8.8,1,0,12,,2024-01-19,9.97,0.01942740286298572,False,True
2024-01-19,000001.SZ,10.06,10.25,9.96,10.15,928600,9425290.0,1.0,10.97,8.97,1,0,13,,2024-01-22,10.15,0.01805416248746239,False,True
2024-01-22,000001.SZ,10.23,10.4,10.13,10.3,930800,9587240.0,1.0,11.16,9.14,1,0,14,,2024-01-23,10.3,0.014778325123152802,False,True
2024-01-23,000001.SZ,10.36,10.53,10.26,10.43,933000,9731190.0,1.0,11.33,9.27,1,0,15,,2024-01-24,10.43,0.012621359223300876,False,True
2024-01-24,000001.SZ,10.48,10.64,10.38,10.53,935200,9847656.0,1.0,11.47,9.39,1,0,16,,2024-01-25,10.53,0.009587727708533,False,True
2024-01-25,000001.SZ,10.56,10.7,10.45,10.59,937400,9927066.0,1.0,11.58,9.48,1,0,17,,2024-01-26,10.59,0.005698005698005826,False,True
2024-01-26,000001.SZ,10.6,10.73,10.49,10.62,939600,9978552.0,1.0,11.65,9.53,1,0,18,,2024-01-29,10.62,0.0028328611898016387,False,True
2024-01-29,000001.SZ,10.61,10.72,10.5,10.61,941800,9992498.0,1.0,11.68,9.56,1,0,19,,2024-01-30,10.61,-0.0009416195856873921,False,True
2024-01-30,000001.SZ,10.58,10.69,10.45,10.56,944000,9968640.0,1.0,11.67,9.55,1,0,20,,2024-01-31,10.56,-0.004712535344014945,False,True
2024-01-31,000001.SZ,10.52,10.63,10.38,10.48,946200,9916176.0,1.0,11.62,9.5,1,0,21,,2024-02-01,10.48,-0.007575757575757569,False,True
2024-02-01,000001.SZ,10.42,10.52,10.26,10.36,948400,9825424.0,1.0,11.53,9.43,1,0,22,,2024-02-02,10.36,-0.011450381679389388,False,True
2024-02-02,000001.SZ,10.28,10.38,10.11,10.21,950600,9705626.0,1.0,11.4,9.32,1,0,23,,2024-02-05,10.21,-0.014478764478764394,False,True
2024-02-05,000001.SZ,10.12,10.22,9.94,10.04,952800,9566112.0,1.0,11.23,9.19,1,0,24,,2024-02-06,10.04,-0.0166503428011755,False,True
2024-02-06,000001.SZ,9.94,10.04,9.75,9.85,955000,9406750.0,1.0,11.04,9.04,1,0,25,,2024-02-07,9.85,-0.018924302788844605,False,True
2024-02-07,000001.SZ,9.75,9.85,9.55,9.65,957200,9236980.0,1.0,10.84,8.86,1,0,26,,2024-02-08,9.65,-0.02030456852791873,False,True
2024-02-08,000001.SZ,9.54,9.64,9.35,9.44,959400,9056736.0,1.0,10.62,8.68,1,0,27,,2024-02-09,9.44,-0.021761658031088205,False,True
2024-02-09,000001.SZ,9.34,9.43,9.14,9.23,961600,8875568.0,1.0,10.38,8.5,1,0,28,,2024-02-12,9.23,-0.022245762711864292,False,True
