trade_date,symbol,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down
2024-01-02,000001.SZ,8.02,8.13,7.94,8.05,900000,7245000.0,1.0,8.8,7.2
2024-01-03,000001.SZ,8.04,8.15,7.96,8.07,902200,7280754.0,1.0,8.8,7.2
2024-01-04,000001.SZ,8.12,8.25,8.04,8.17,904400,7388948.0,1.0,8.88,7.26
2024-01-05,000001.SZ,8.23,8.37,8.15,8.29,906600,7515714.0,1.0,8.99,7.35
2024-01-08,000001.SZ,8.36,8.51,8.28,8.43,908800,7661184.0,1.0,9.12,7.46
2024-01-09,000001.SZ,8.51,8.68,8.42,8.59,911000,7825490.0,1.0,9.27,7.59
2024-01-10,000001.SZ,8.68,8.86,8.59,8.77,913200,8008764.0,1.0,9.45,7.73
2024-01-11,000001.SZ,8.86,9.05,8.77,8.96,915400,8201984.0,1.0,9.65,7.89
2024-01-12,000001.SZ,9.06,9.25,8.97,9.16,917600,8405216.0,1.0,9.86,8.06
2024-01-15,000001.SZ,9.26,9.46,9.17,9.37,919800,8618526.0,1.0,10.08,8.24
2024-01-16,000001.SZ,9.48,9.68,9.39,9.58,922000,8832760.0,1.0,10.31,8.43
2024-01-17,000001.SZ,9.68,9.88,9.58,9.78,924200,9038676.0,1.0,10.54,8.62
2024-01-18,000001.SZ,9.88,10.07,9.78,9.97,926400,9236208.0,1.0,10.76,8.8
2024-01-19,000001.SZ,10.06,10.25,9.96,10.15,928600,9425290.0,1.0,10.97,8.97
2024-01-22,000001.SZ,10.23,10.4,10.13,10.3,930800,9587240.0,1.0,11.16,9.14
2024-01-23,000001.SZ,10.36,10.53,10.26,10.43,933000,9731190.0,1.0,11.33,9.27
2024-01-24,000001.SZ,10.48,10.64,10.38,10.53,935200,9847656.0,1.0,11.47,9.39
2024-01-25,000001.SZ,10.56,10.7,10.45,10.59,937400,9927066.0,1.0,11.58,9.48
2024-01-26,000001.SZ,10.6,10.73,10.49,10.62,939600,9978552.0,1.0,11.65,9.53
2024-01-29,000001.SZ,10.61,10.72,10.5,10.61,941800,9992498.0,1.0,11.68,9.56
2024-01-30,000001.SZ,10.58,10.69,10.45,10.56,944000,9968640.0,1.0,11.67,9.55
2024-01-31,000001.SZ,10.52,10.63,10.38,10.48,946200,9916176.0,1.0,11.62,9.5
2024-02-01,000001.SZ,10.42,10.52,10.26,10.36,948400,9825424.0,1.0,11.53,9.43
2024-02-02,000001.SZ,10.28,10.38,10.11,10.21,950600,9705626.0,1.0,11.4,9.32
2024-02-05,000001.SZ,10.12,10.22,9.94,10.04,952800,9566112.0,1.0,11.23,9.19
2024-02-06,000001.SZ,9.94,10.04,9.75,9.85,955000,9406750.0,1.0,11.04,9.04
2024-02-07,000001.SZ,9.75,9.85,9.55,9.65,957200,9236980.0,1.0,10.84,8.86
2024-02-08,000001.SZ,9.54,9.64,9.35,9.44,959400,9056736.0,1.0,10.62,8.68
2024-02-09,000001.SZ,9.34,9.43,9.14,9.23,961600,8875568.0,1.0,10.38,8.5
2024-02-12,000001.SZ,9.12,9.21,8.93,9.02,963800,8693476.0,1.0,10.15,8.31
2024-02-13,000001.SZ,8.92,9.01,8.73,8.82,966000,8520120.0,1.0,9.92,8.12
2024-02-14,000001.SZ,8.73,8.82,8.54,8.63,968200,8355566.0,1.0,9.7,7.94
2024-02-15,000001.SZ,8.55,8.64,8.38,8.46,970400,8209584.0,1.0,9.49,7.77
2024-02-16,000001.SZ,8.39,8.47,8.23,8.31,972600,8082306.0,1.0,9.31,7.61
2024-02-19,000001.SZ,8.25,8.33,8.1,8.18,974800,7973864.0,1.0,9.14,7.48
2024-02-20,000001.SZ,8.12,8.2,7.99,8.07,977000,7884390.0,1.0,9.0,7.36
2024-02-21,000001.SZ,8.02,8.1,7.9,7.98,979200,7814016.0,1.0,8.88,7.26
2024-02-22,000001.SZ,7.95,8.03,7.84,7.92,981400,7772688.0,1.0,8.78,7.18
2024-02-23,000001.SZ,7.9,7.98,7.81,7.89,983600,7760604.0,1.0,8.71,7.13
2024-02-26,000001.SZ,7.88,7.96,7.8,7.88,985800,7768104.0,1.0,8.68,7.1
2024-02-27,000001.SZ,7.88,7.97,7.8,7.89,988000,7795320.0,1.0,8.67,7.09
2024-02-28,000001.SZ,7.91,8.01,7.83,7.93,990200,7852286.0,1.0,8.68,7.1
2024-02-29,000001.SZ,7.96,8.07,7.88,7.99,992400,7929276.0,1.0,8.72,7.14
2024-03-01,000001.SZ,8.03,8.15,7.95,8.07,994600,8026422.0,1.0,8.79,7.19
2024-03-04,000001.SZ,8.12,8.25,8.04,8.17,996800,8143856.0,1.0,8.88,7.26
2024-03-05,000001.SZ,8.22,8.36,8.14,8.28,999000,8271720.0,1.0,8.99,7.35
2024-03-06,000001.SZ,8.34,8.48,8.26,8.4,1001200,8410080.0,1.0,9.11,7.45
2024-03-07,000001.SZ,8.46,8.62,8.38,8.53,1003400,8559002.0,1.0,9.24,7.56
2024-03-08,000001.SZ,8.6,8.76,8.51,8.67,1005600,8718552.0,1.0,9.38,7.68
2024-03-11,000001.SZ,8.74,8.9,8.65,8.81,1007800,8878718.0,1.0,9.54,7.8
2024-03-12,000001.SZ,8.88,9.04,8.79,8.95,1010000,9039500.0,1.0,9.69,7.93
2024-03-13,000001.SZ,9.02,9.17,8.93,9.08,1012200,9190776.0,1.0,9.85,8.06
2024-03-14,000001.SZ,9.14,9.29,9.05,9.2,1014400,9332480.0,1.0,9.99,8.17
2024-03-15,000001.SZ,9.25,9.39,9.16,9.3,1016600,9454380.0,1.0,10.12,8.28
2024-03-18,000001.SZ,9.34,9.47,9.25,9.38,1018800,9556344.0,1.0,10.23,8.37
2024-03-19,000001.SZ,9.41,9.53,9.32,9.44,1021000,9638240.0,1.0,10.32,8.44
2024-03-20,000001.SZ,9.46,9.57,9.37,9.48,1023200,9699936.0,1.0,10.38,8.5
2024-03-21,000001.SZ,9.49,9.6,9.4,9.5,1025400,9741300.0,1.0,10.43,8.53
2024-03-22,000001.SZ,9.5,9.6,9.4,9.49,1027600,9751924.0,1.0,10.45,8.55
2024-03-25,000001.SZ,9.48,9.57,9.37,9.46,1029800,9741908.0,1.0,10.44,8.54
2024-03-26,000001.SZ,9.44,9.53,9.32,9.41,1032000,9711120.0,1.0,10.41,8.51
2024-03-27,000001.SZ,9.38,9.47,9.25,9.34,1034200,9659428.0,1.0,10.35,8.47
2024-03-28,000001.SZ,9.3,9.39,9.17,9.26,1036400,9597064.0,1.0,10.27,8.41
2024-03-29,000001.SZ,9.21,9.3,9.07,9.16,1038600,9513576.0,1.0,10.19,8.33
2024-04-01,000001.SZ,9.11,9.2,8.97,9.06,1040800,9429648.0,1.0,10.08,8.24
2024-04-02,000001.SZ,9.0,9.09,8.86,8.95,1043000,9334850.0,1.0,9.97,8.15
2024-04-03,000001.SZ,8.9,8.99,8.75,8.84,1045200,9239568.0,1.0,9.85,8.06
2024-04-04,000001.SZ,8.79,8.88,8.65,8.74,1047400,9154276.0,1.0,9.72,7.96
2024-04-05,000001.SZ,8.7,8.79,8.56,8.65,1049600,9079040.0,1.0,9.61,7.87
2024-04-08,000001.SZ,8.61,8.7,8.48,8.57,1051800,9013926.0,1.0,9.52,7.78
2024-04-09,000001.SZ,8.54,8.63,8.41,8.5,1054000,8959000.0,1.0,9.43,7.71
2024-04-10,000001.SZ,8.48,8.56,8.37,8.45,1056200,8924890.0,1.0,9.35,7.65
2024-04-11,000001.SZ,8.43,8.51,8.34,8.42,1058400,8911728.0,1.0,9.3,7.6
2024-04-12,000001.SZ,8.41,8.49,8.33,8.41,1060600,8919646.0,1.0,9.26,7.58
2024-04-15,000001.SZ,8.41,8.5,8.33,8.42,1062800,8948776.0,1.0,9.25,7.57
2024-04-16,000001.SZ,8.44,8.54,8.36,8.46,1065000,9009900.0,1.0,9.26,7.58
2024-04-17,000001.SZ,8.49,8.61,8.41,8.52,1067200,9092544.0,1.0,9.31,7.61
2024-04-18,000001.SZ,8.56,8.69,8.47,8.6,1069400,9196840.0,1.0,9.37,7.67
2024-04-19,000001.SZ,8.65,8.79,8.56,8.7,1071600,9322920.0,1.0,9.46,7.74
2024-04-22,000001.SZ,8.76,8.91,8.67,8.82,1073800,9470916.0,1.0,9.57,7.83
2024-04-23,000001.SZ,8.89,9.05,8.8,8.96,1076000,9640960.0,1.0,9.7,7.94
2024-04-24,000001.SZ,9.04,9.21,8.95,9.12,1078200,9833184.0,1.0,9.86,8.06
2024-04-25,000001.SZ,9.2,9.38,9.11,9.29,1080400,10036916.0,1.0,10.03,8.21
2024-04-26,000001.SZ,9.38,9.56,9.29,9.47,1082600,10252222.0,1.0,10.22,8.36
2024-04-29,000001.SZ,9.56,9.75,9.46,9.65,1084800,10468320.0,1.0,10.42,8.52
2024-04-30,000001.SZ,9.74,9.93,9.64,9.83,1087000,10685210.0,1.0,10.62,8.68
2024-05-01,000001.SZ,9.92,10.11,9.82,10.01,1089200,10902892.0,1.0,10.81,8.85
2024-05-02,000001.SZ,10.09,10.28,9.99,10.18,1091400,11110452.0,1.0,11.01,9.01
2024-05-03,000001.SZ,10.26,10.43,10.16,10.33,1093600,11296888.0,1.0,11.2,9.16
2024-05-06,000001.SZ,10.4,10.56,10.3,10.46,1095800,11462068.0,1.0,11.36,9.3
2024-05-07,000001.SZ,10.52,10.68,10.41,10.57,1098000,11605860.0,1.0,11.51,9.41
2024-05-08,000001.SZ,10.61,10.76,10.5,10.65,1100200,11717130.0,1.0,11.63,9.51
2024-05-09,000001.SZ,10.67,10.8,10.56,10.69,1102400,11784656.0,1.0,11.72,9.59
2024-05-10,000001.SZ,10.7,10.81,10.59,10.7,1104600,11819220.0,1.0,11.76,9.62
2024-05-13,000001.SZ,10.68,10.79,10.56,10.67,1106800,11809556.0,1.0,11.77,9.63
2024-05-14,000001.SZ,10.64,10.75,10.5,10.61,1109000,11766490.0,1.0,11.74,9.6
2024-05-15,000001.SZ,10.56,10.67,10.4,10.51,1111200,11678712.0,1.0,11.67,9.55
2024-05-16,000001.SZ,10.44,10.54,10.28,10.38,1113400,11557092.0,1.0,11.56,9.46
2024-05-17,000001.SZ,10.3,10.4,10.12,10.22,1115600,11401432.0,1.0,11.42,9.34
2024-05-20,000001.SZ,10.13,10.23,9.94,10.04,1117800,11222712.0,1.0,11.24,9.2
2024-05-21,000001.SZ,9.94,10.04,9.74,9.84,1120000,11020800.0,1.0,11.04,9.04
2024-05-22,000001.SZ,9.74,9.84,9.53,9.63,1122200,10806786.0,1.0,10.82,8.86
2024-05-23,000001.SZ,9.52,9.62,9.32,9.41,1124400,10580604.0,1.0,10.59,8.67
2024-05-24,000001.SZ,9.3,9.39,9.1,9.19,1126600,10353454.0,1.0,10.35,8.47
2024-05-27,000001.SZ,9.08,9.17,8.88,8.97,1128800,10125336.0,1.0,10.11,8.27
2024-05-28,000001.SZ,8.86,8.95,8.67,8.76,1131000,9907560.0,1.0,9.87,8.07
2024-05-29,000001.SZ,8.66,8.75,8.48,8.57,1133200,9711524.0,1.0,9.64,7.88
2024-05-30,000001.SZ,8.48,8.56,8.31,8.39,1135400,9526006.0,1.0,9.43,7.71
2024-05-31,000001.SZ,8.31,8.39,8.15,8.23,1137600,9362448.0,1.0,9.23,7.55
2024-06-03,000001.SZ,8.16,8.24,8.02,8.1,1139800,9232380.0,1.0,9.05,7.41
2024-06-04,000001.SZ,8.04,8.12,7.91,7.99,1142000,9124580.0,1.0,8.91,7.29
2024-06-05,000001.SZ,7.95,8.03,7.83,7.91,1144200,9050622.0,1.0,8.79,7.19
2024-06-06,000001.SZ,7.88,7.96,7.77,7.85,1146400,8999240.0,1.0,8.7,7.12
2024-06-07,000001.SZ,7.84,7.92,7.74,7.82,1148600,8982052.0,1.0,8.64,7.06
2024-06-10,000001.SZ,7.82,7.9,7.74,7.82,1150800,8999256.0,1.0,8.6,7.04
2024-06-11,000001.SZ,7.83,7.92,7.75,7.84,1153000,9039520.0,1.0,8.6,7.04
2024-06-12,000001.SZ,7.86,7.97,7.78,7.89,1155200,9114528.0,1.0,8.62,7.06
2024-06-13,000001.SZ,7.92,8.04,7.84,7.96,1157400,9212904.0,1.0,8.68,7.1
2024-06-14,000001.SZ,8.01,8.13,7.93,8.05,1159600,9334780.0,1.0,8.76,7.16
2024-06-17,000001.SZ,8.11,8.25,8.03,8.17,1161800,9491906.0,1.0,8.86,7.25
2024-01-02,000002.SZ,9.8,10.01,9.7,9.91,945000,9364950.0,1.0,10.67,8.73
2024-01-03,000002.SZ,9.81,10.02,9.71,9.92,947200,9396224.0,1.0,10.67,8.73
2024-01-04,000002.SZ,9.82,10.03,9.72,9.93,949400,9427542.0,1.0,10.67,8.73
2024-01-05,000002.SZ,9.82,10.03,9.72,9.93,951600,9449388.0,1.0,10.67,8.73
2024-01-08,000002.SZ,9.82,10.03,9.72,9.93,953800,9471234.0,1.0,10.67,8.73
2024-01-09,000002.SZ,9.82,10.03,9.72,9.93,956000,9493080.0,1.0,10.67,8.73
2024-01-10,000002.SZ,9.8,10.01,9.7,9.91,958200,9495762.0,1.0,10.67,8.73
